Ranges: [0.000040-0.000065, 0.000065-0.000105, 0.000105-0.000169, 0.000169-0.000274, 0.000274-0.000443, 0.000443-0.000718, 0.000718-0.001161, 0.001161-0.001879, 0.001879-0.003040, 0.003040-0.004918, 0.004918-0.007958, 0.007958-0.012876, 0.012876-0.020833, 0.020833-0.033709, 0.033709-0.054543, 0.054543-0.088252, 0.088252-0.142794, 0.142794-0.231046, 0.231046-0.373840, 0.373840-0.604886, 0.604886-0.978727, 0.978727-0.999960]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 32500, 27500, 31000, 25500, 38500, 32500, 24500, 19500, 19000, 22000, 21500, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039441, 0.039746, 0.039026, 0.049594, 0.062570, 0.049403, 0.049451, 0.063541, 0.049594, 0.050218, 0.062330, 0.049474, 0.039517, 0.039899, 0.039899, 0.039688, 0.039708, 0.039403, 0.039214, 0.039593, 0.039403, 0.039289]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.194883, 1.535352, 1.198338, 1.213425, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.959460, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 32500, 27500, 31000, 25500, 38500, 33000, 24500, 19500, 19000, 22000, 21500, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039443, 0.039748, 0.039027, 0.049596, 0.062573, 0.049405, 0.049453, 0.063544, 0.049596, 0.050220, 0.062333, 0.049429, 0.039519, 0.039901, 0.039901, 0.039690, 0.039709, 0.039405, 0.039216, 0.039595, 0.039405, 0.039291]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.194883, 1.535352, 1.198338, 1.213425, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 32500, 27500, 31000, 25500, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039444, 0.039749, 0.039029, 0.049598, 0.062575, 0.049407, 0.049455, 0.063546, 0.049598, 0.050222, 0.062335, 0.049431, 0.039520, 0.039903, 0.039903, 0.039692, 0.039673, 0.039406, 0.039217, 0.039596, 0.039406, 0.039293]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.193734, 1.535352, 1.198338, 1.213425, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 33000, 27500, 31000, 25500, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039446, 0.039751, 0.039031, 0.049600, 0.062578, 0.049410, 0.049410, 0.063550, 0.049600, 0.050225, 0.062338, 0.049433, 0.039522, 0.039904, 0.039904, 0.039694, 0.039675, 0.039408, 0.039219, 0.039598, 0.039408, 0.039295]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.193734, 1.535352, 1.198338, 1.212258, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 33000, 27500, 31000, 26000, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039448, 0.039753, 0.039033, 0.049603, 0.062581, 0.049412, 0.049412, 0.063553, 0.049603, 0.050179, 0.062341, 0.049436, 0.039524, 0.039906, 0.039906, 0.039696, 0.039677, 0.039410, 0.039221, 0.039600, 0.039410, 0.039297]
Range_scores: [0.953018, 0.960384, 0.942982, 1.197185, 1.511891, 1.193734, 1.193734, 1.535352, 1.198338, 1.212258, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31500, 35500, 33000, 33000, 27500, 31000, 26000, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039450, 0.039755, 0.039035, 0.049557, 0.062584, 0.049414, 0.049414, 0.063556, 0.049605, 0.050181, 0.062344, 0.049438, 0.039526, 0.039908, 0.039908, 0.039698, 0.039678, 0.039412, 0.039223, 0.039602, 0.039412, 0.039298]
Range_scores: [0.952102, 0.960384, 0.942982, 1.197185, 1.511891, 1.193734, 1.193734, 1.535352, 1.198338, 1.212258, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25500, 21000, 30500, 31500, 35500, 33000, 33000, 27500, 31000, 26000, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039414, 0.039756, 0.039036, 0.049559, 0.062587, 0.049416, 0.049416, 0.063558, 0.049607, 0.050183, 0.062346, 0.049440, 0.039528, 0.039910, 0.039910, 0.039699, 0.039680, 0.039414, 0.039224, 0.039604, 0.039414, 0.039300]
Range_scores: [0.952102, 0.960384, 0.942982, 1.197185, 1.511891, 1.193734, 1.193734, 1.535352, 1.198338, 1.212258, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.946619, 0.956694, 0.952102, 0.949357]
Miss_counts: [25500, 21000, 30500, 31500, 35500, 33000, 33000, 27500, 31000, 26000, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28500, 23000, 25500, 27000]
Range_probabilities: [0.039415, 0.039758, 0.039038, 0.049561, 0.062589, 0.049418, 0.049418, 0.063560, 0.049609, 0.050185, 0.062349, 0.049442, 0.039529, 0.039911, 0.039911, 0.039701, 0.039681, 0.039415, 0.039188, 0.039605, 0.039415, 0.039301]
Range_scores: [0.952102, 0.960384, 0.942982, 1.197185, 1.510436, 1.193734, 1.193734, 1.535352, 1.198338, 1.212258, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.946619, 0.956694, 0.952102, 0.949357]
Miss_counts: [25500, 21000, 30500, 31500, 36000, 33000, 33000, 27500, 31000, 26000, 38500, 33000, 24500, 19500, 19000, 22000, 22000, 25500, 28500, 23000, 25500, 27000]
Range_probabilities: [0.039417, 0.039760, 0.039040, 0.049564, 0.062533, 0.049421, 0.049421, 0.063564, 0.049612, 0.050188, 0.062352, 0.049445, 0.039531, 0.039914, 0.039914, 0.039703, 0.039684, 0.039417, 0.039190, 0.039608, 0.039417, 0.039304]
Range_scores: [0.952102, 0.960384, 0.942982, 1.197185, 1.510436, 1.193734, 1.193734, 1.535352, 1.198338, 1.211092, 1.506082, 1.194308, 0.954854, 0.964089, 0.964089, 0.958999, 0.958537, 0.952102, 0.946619, 0.956694, 0.952102, 0.949357]
