Ranges: [0.000049-0.000079, 0.000079-0.000128, 0.000128-0.000207, 0.000207-0.000334, 0.000334-0.000541, 0.000541-0.000875, 0.000875-0.001416, 0.001416-0.002291, 0.002291-0.003707, 0.003707-0.005998, 0.005998-0.009706, 0.009706-0.015704, 0.015704-0.025410, 0.025410-0.041114, 0.041114-0.066524, 0.066524-0.107638, 0.107638-0.174161, 0.174161-0.281799, 0.281799-0.455960, 0.455960-0.737758, 0.737758-0.999951]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 6000, 0, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.001505, 0.001512, 0.001918, 0.002442, 0.001923, 0.005017, 0.026734, 0.016690, 0.003951, 0.001922, 0.003951, 0.143913, 0.756657, 0.021292, 0.001512, 0.001512, 0.001511, 0.001508, 0.001512, 0.001509, 0.001508]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 95.166915, 500.121326, 14.079787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 6000, 500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.001506, 0.001513, 0.001919, 0.002443, 0.001923, 0.005018, 0.026744, 0.016696, 0.003953, 0.001922, 0.003953, 0.143966, 0.756569, 0.021299, 0.001513, 0.001513, 0.001511, 0.001508, 0.001513, 0.001510, 0.001508]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 95.166915, 499.640229, 14.079787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 6000, 1000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.001507, 0.001514, 0.001920, 0.002445, 0.001925, 0.005022, 0.026763, 0.016709, 0.003956, 0.001924, 0.003956, 0.144071, 0.756391, 0.021315, 0.001514, 0.001514, 0.001512, 0.001510, 0.001514, 0.001511, 0.001510]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 95.166915, 499.159595, 14.079787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 6000, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
