Ranges: [0.000040-0.000065, 0.000065-0.000105, 0.000105-0.000171, 0.000171-0.000276, 0.000276-0.000447, 0.000447-0.000723, 0.000723-0.001169, 0.001169-0.001892, 0.001892-0.003061, 0.003061-0.004953, 0.004953-0.008014, 0.008014-0.012967, 0.012967-0.020981, 0.020981-0.033948, 0.033948-0.054929, 0.054929-0.088877, 0.088877-0.143806, 0.143806-0.232684, 0.232684-0.376490, 0.376490-0.609174, 0.609174-0.985664, 0.985664-0.999960]
Range_probabilities: [0.043163, 0.043205, 0.043163, 0.043205, 0.054958, 0.069773, 0.054958, 0.043163, 0.043205, 0.043163, 0.043122, 0.043163, 0.043205, 0.043163, 0.043163, 0.043122, 0.043122, 0.043205, 0.043205, 0.043163, 0.043205, 0.043205]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 0.999038, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 500, 0, 500, 500, 1000, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043166, 0.043207, 0.043166, 0.043207, 0.054908, 0.069776, 0.054960, 0.043166, 0.043207, 0.043166, 0.043124, 0.043166, 0.043207, 0.043166, 0.043166, 0.043124, 0.043124, 0.043207, 0.043207, 0.043166, 0.043207, 0.043207]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 500, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043167, 0.043209, 0.043167, 0.043209, 0.054910, 0.069779, 0.054963, 0.043167, 0.043209, 0.043167, 0.043126, 0.043167, 0.043209, 0.043167, 0.043167, 0.043084, 0.043126, 0.043209, 0.043209, 0.043167, 0.043209, 0.043209]
Range_scores: [0.998077, 1.000000, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [1000, 0, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 500, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043128, 0.043211, 0.043169, 0.043211, 0.054912, 0.069782, 0.054965, 0.043169, 0.043211, 0.043169, 0.043128, 0.043169, 0.043211, 0.043169, 0.043169, 0.043086, 0.043128, 0.043211, 0.043211, 0.043169, 0.043211, 0.043211]
Range_scores: [0.998077, 1.000000, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [1000, 0, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043130, 0.043213, 0.043171, 0.043213, 0.054914, 0.069785, 0.054967, 0.043171, 0.043213, 0.043171, 0.043130, 0.043130, 0.043213, 0.043171, 0.043171, 0.043088, 0.043130, 0.043213, 0.043213, 0.043171, 0.043213, 0.043213]
Range_scores: [0.998077, 0.999038, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [1000, 500, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043131, 0.043173, 0.043173, 0.043214, 0.054917, 0.069788, 0.054970, 0.043173, 0.043214, 0.043173, 0.043131, 0.043131, 0.043214, 0.043173, 0.043173, 0.043090, 0.043131, 0.043214, 0.043214, 0.043173, 0.043214, 0.043214]
Range_scores: [0.997117, 0.999038, 0.999038, 1.000000, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [1500, 500, 500, 0, 500, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043092, 0.043175, 0.043175, 0.043216, 0.054919, 0.069791, 0.054972, 0.043175, 0.043216, 0.043175, 0.043133, 0.043133, 0.043216, 0.043175, 0.043175, 0.043092, 0.043133, 0.043216, 0.043216, 0.043175, 0.043216, 0.043216]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [1500, 500, 500, 500, 500, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043093, 0.043176, 0.043176, 0.043176, 0.054921, 0.069794, 0.054974, 0.043176, 0.043218, 0.043176, 0.043135, 0.043135, 0.043218, 0.043176, 0.043176, 0.043093, 0.043135, 0.043218, 0.043218, 0.043176, 0.043218, 0.043218]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.270796, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 500, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 500, 0]
Range_probabilities: [0.043095, 0.043178, 0.043178, 0.043178, 0.054924, 0.069797, 0.054976, 0.043178, 0.043220, 0.043178, 0.043137, 0.043137, 0.043220, 0.043178, 0.043178, 0.043095, 0.043137, 0.043220, 0.043220, 0.043178, 0.043178, 0.043220]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 500, 500, 0]
Range_probabilities: [0.043097, 0.043181, 0.043181, 0.043181, 0.054874, 0.069800, 0.054979, 0.043181, 0.043222, 0.043181, 0.043139, 0.043139, 0.043222, 0.043181, 0.043181, 0.043097, 0.043139, 0.043222, 0.043222, 0.043181, 0.043181, 0.043222]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 0, 1000, 500, 0]
Range_probabilities: [0.043099, 0.043182, 0.043182, 0.043182, 0.054876, 0.069803, 0.054982, 0.043182, 0.043224, 0.043182, 0.043141, 0.043141, 0.043224, 0.043182, 0.043182, 0.043099, 0.043141, 0.043224, 0.043224, 0.043141, 0.043182, 0.043224]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 500, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 500, 1000, 500, 0]
Range_probabilities: [0.043101, 0.043184, 0.043184, 0.043184, 0.054878, 0.069806, 0.054984, 0.043184, 0.043226, 0.043184, 0.043143, 0.043143, 0.043226, 0.043184, 0.043184, 0.043101, 0.043143, 0.043226, 0.043184, 0.043143, 0.043184, 0.043226]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 1000, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 500, 1000, 500, 0]
Range_probabilities: [0.043103, 0.043186, 0.043186, 0.043186, 0.054880, 0.069809, 0.054986, 0.043144, 0.043227, 0.043186, 0.043144, 0.043144, 0.043227, 0.043186, 0.043186, 0.043103, 0.043144, 0.043227, 0.043186, 0.043144, 0.043186, 0.043227]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 0.998077, 0.998077, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 1000, 0, 500, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 1000, 1000, 500, 0]
Range_probabilities: [0.043105, 0.043188, 0.043188, 0.043188, 0.054883, 0.069812, 0.054988, 0.043146, 0.043229, 0.043188, 0.043146, 0.043146, 0.043229, 0.043188, 0.043188, 0.043105, 0.043146, 0.043229, 0.043146, 0.043146, 0.043188, 0.043229]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.998077, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 0.998077, 0.998077, 0.999038, 1.000000]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 1000, 0, 1000, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 1000, 1000, 500, 0]
Range_probabilities: [0.043106, 0.043189, 0.043189, 0.043189, 0.054885, 0.069815, 0.054991, 0.043148, 0.043231, 0.043148, 0.043148, 0.043148, 0.043231, 0.043189, 0.043189, 0.043106, 0.043148, 0.043231, 0.043148, 0.043148, 0.043189, 0.043231]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.998077, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.997117, 0.998077, 1.000000, 0.998077, 0.998077, 0.999038, 0.999038]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 1000, 0, 1000, 1000, 1000, 0, 500, 500, 1500, 1000, 0, 1000, 1000, 500, 500]
Range_probabilities: [0.043108, 0.043191, 0.043191, 0.043191, 0.054887, 0.069818, 0.054993, 0.043150, 0.043233, 0.043150, 0.043150, 0.043150, 0.043233, 0.043191, 0.043191, 0.043108, 0.043150, 0.043233, 0.043150, 0.043150, 0.043191, 0.043191]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.998077, 0.998077, 0.998077, 1.000000, 0.999038, 0.999038, 0.996158, 0.998077, 1.000000, 0.998077, 0.998077, 0.999038, 0.999038]
Miss_counts: [1500, 500, 500, 500, 1000, 1000, 0, 1000, 0, 1000, 1000, 1000, 0, 500, 500, 2000, 1000, 0, 1000, 1000, 500, 500]
Range_probabilities: [0.043110, 0.043193, 0.043193, 0.043193, 0.054890, 0.069821, 0.054995, 0.043152, 0.043235, 0.043152, 0.043152, 0.043152, 0.043235, 0.043193, 0.043193, 0.043069, 0.043152, 0.043235, 0.043152, 0.043152, 0.043193, 0.043193]
Range_scores: [0.997117, 0.999038, 0.999038, 0.999038, 1.269574, 1.614923, 1.272020, 0.998077, 1.000000, 0.998077, 0.998077, 0.998077, 0.999038, 0.999038, 0.999038, 0.996158, 0.998077, 1.000000, 0.998077, 0.998077, 0.999038, 0.999038]
